verb,language,translation,mood,tense,person,pronoun,form
olla,Finnish,to be,indicative,present,1sg,Minä,olen
olla,Finnish,to be,indicative,present,2sg,Sinä,olet
olla,Finnish,to be,indicative,present,3sg,Hän,on
olla,Finnish,to be,indicative,present,1pl,Me,olemme
olla,Finnish,to be,indicative,present,2pl,Te,olette
olla,Finnish,to be,indicative,present,3pl,He,ovat
olla,Finnish,to be,indicative,past,1sg,Minä,olin
olla,Finnish,to be,indicative,past,2sg,Sinä,olit
olla,Finnish,to be,indicative,past,3sg,Hän,oli
būti,Lithuanian,to be,indicative,present,1sg,Aš,esu
būti,Lithuanian,to be,indicative,present,2sg,Tu,esi
būti,Lithuanian,to be,indicative,present,3sg,Jis/Ji,yra
puhua,Finnish,to speak,indicative,present,1sg,Minä,puhun
puhua,Finnish,to speak,indicative,present,2sg,Sinä,puhut
puhua,Finnish,to speak,indicative,present,3sg,Hän,puhuu
puhua,Finnish,to speak,indicative,present,1pl,Me,puhumme
puhua,Finnish,to speak,indicative,present,2pl,Te,puhutte
puhua,Finnish,to speak,indicative,present,3pl,He,puhuvat
maalata,Finnish,to paint,indicative,present,1sg,Minä,maalaan
maalata,Finnish,to paint,indicative,present,2sg,Sinä,maalaat
maalata,Finnish,to paint,indicative,present,3sg,Hän,maalaa
maalata,Finnish,to paint,indicative,present,1pl,Me,maalaamme
maalata,Finnish,to paint,indicative,present,2pl,Te,maalaatte
maalata,Finnish,to paint,indicative,present,3pl,He,maalaavat
kirjoittaa,Finnish,to write,indicative,present,1sg,Minä,kirjoitan
kirjoittaa,Finnish,to write,indicative,present,2sg,Sinä,kirjoitat
kirjoittaa,Finnish,to write,indicative,present,3sg,Hän,kirjoittaa
kirjoittaa,Finnish,to write,indicative,present,1pl,Me,kirjoitamme
kirjoittaa,Finnish,to write,indicative,present,2pl,Te,kirjoitatte
kirjoittaa,Finnish,to write,indicative,present,3pl,He,kirjoittavat
laulaa,Finnish,to sing,indicative,present,1sg,Minä,laulan
laulaa,Finnish,to sing,indicative,present,2sg,Sinä,laulat
laulaa,Finnish,to sing,indicative,present,3sg,Hän,laulaa
laulaa,Finnish,to sing,indicative,present,1pl,Me,laulamme
laulaa,Finnish,to sing,indicative,present,2pl,Te,laulatte
laulaa,Finnish,to sing,indicative,present,3pl,He,laulavat
niiata,Finnish,to curtsy,indicative,present,1sg,Minä,niiaan
niiata,Finnish,to curtsy,indicative,present,2sg,Sinä,niiaat
niiata,Finnish,to curtsy,indicative,present,3sg,Hän,niiaa
niiata,Finnish,to curtsy,indicative,present,1pl,Me,niiaamme
niiata,Finnish,to curtsy,indicative,present,2pl,Te,niiaatte
niiata,Finnish,to curtsy,indicative,present,3pl,He,niiaavat
hyllyä,Finnish,"to shake, quake, jiggle",indicative,present,1sg,Minä,hyllyn
hyllyä,Finnish,"to shake, quake, jiggle",indicative,present,2sg,Sinä,hyllyt
hyllyä,Finnish,"to shake, quake, jiggle",indicative,present,3sg,Hän,hyllyy
hyllyä,Finnish,"to shake, quake, jiggle",indicative,present,1pl,Me,hyllymme
hyllyä,Finnish,"to shake, quake, jiggle",indicative,present,2pl,Te,hyllytte
hyllyä,Finnish,"to shake, quake, jiggle",indicative,present,3pl,He,hyllyvät
lukea,Finnish,to read,indicative,present,1sg,Minä,luen
lukea,Finnish,to read,indicative,present,2sg,Sinä,luet
lukea,Finnish,to read,indicative,present,3sg,Hän,lukee
lukea,Finnish,to read,indicative,present,1pl,Me,luemme
lukea,Finnish,to read,indicative,present,2pl,Te,luette
lukea,Finnish,to read,indicative,present,3pl,He,lukevat
juoda,Finnish,to drink,indicative,present,1sg,Minä,juon
juoda,Finnish,to drink,indicative,present,2sg,Sinä,juot
juoda,Finnish,to drink,indicative,present,3sg,Hän,juo
juoda,Finnish,to drink,indicative,present,1pl,Me,juomme
juoda,Finnish,to drink,indicative,present,2pl,Te,juotte
juoda,Finnish,to drink,indicative,present,3pl,He,juovat
tutkia,Finnish,"to examine, research",indicative,present,1sg,Minä,tutkin
tutkia,Finnish,"to examine, research",indicative,present,2sg,Sinä,tutkit
tutkia,Finnish,"to examine, research",indicative,present,3sg,Hän,tutkii
tutkia,Finnish,"to examine, research",indicative,present,1pl,Me,tutkimme
tutkia,Finnish,"to examine, research",indicative,present,2pl,Te,tutkitte
tutkia,Finnish,"to examine, research",indicative,present,3pl,He,tutkivat
myydä,Finnish,to sell,indicative,present,1sg,Minä,myyn
myydä,Finnish,to sell,indicative,present,2sg,Sinä,myyt
myydä,Finnish,to sell,indicative,present,3sg,Hän,myy
myydä,Finnish,to sell,indicative,present,1pl,Me,myymme
myydä,Finnish,to sell,indicative,present,2pl,Te,myytte
myydä,Finnish,to sell,indicative,present,3pl,He,myyvät
haukkua,Finnish,to bark,indicative,present,1sg,Minä,haukun
haukkua,Finnish,to bark,indicative,present,2sg,Sinä,haukut
haukkua,Finnish,to bark,indicative,present,3sg,Hän,haukkuu
haukkua,Finnish,to bark,indicative,present,1pl,Me,haukumme
haukkua,Finnish,to bark,indicative,present,2pl,Te,haukutte
haukkua,Finnish,to bark,indicative,present,3pl,He,haukkuvat
ampua,Finnish,to shoot,indicative,present,1sg,Minä,ammun
ampua,Finnish,to shoot,indicative,present,2sg,Sinä,ammut
ampua,Finnish,to shoot,indicative,present,3sg,Hän,ammuu
ampua,Finnish,to shoot,indicative,present,1pl,Me,ammumme
ampua,Finnish,to shoot,indicative,present,2pl,Te,ammutte
ampua,Finnish,to shoot,indicative,present,3pl,He,ampuvat
suudella,Finnish,to kiss,indicative,present,1sg,Minä,suutelen
suudella,Finnish,to kiss,indicative,present,2sg,Sinä,suutelet
suudella,Finnish,to kiss,indicative,present,3sg,Hän,suutelee
suudella,Finnish,to kiss,indicative,present,1pl,Me,suutelemme
suudella,Finnish,to kiss,indicative,present,2pl,Te,suutelette
suudella,Finnish,to kiss,indicative,present,3pl,He,suutelevat
ottaa,Finnish,to take,indicative,present,1sg,Minä,otan
ottaa,Finnish,to take,indicative,present,2sg,Sinä,otat
ottaa,Finnish,to take,indicative,present,3sg,Hän,ottaa
ottaa,Finnish,to take,indicative,present,1pl,Me,otamme
ottaa,Finnish,to take,indicative,present,2pl,Te,otatte
ottaa,Finnish,to take,indicative,present,3pl,He,ottavat
mitata,Finnish,"to measure, gauge",indicative,present,1sg,Minä,mittaan
mitata,Finnish,"to measure, gauge",indicative,present,2sg,Sinä,mittaat
mitata,Finnish,"to measure, gauge",indicative,present,3sg,Hän,mittaa
mitata,Finnish,"to measure, gauge",indicative,present,1pl,Me,mittaamme
mitata,Finnish,"to measure, gauge",indicative,present,2pl,Te,mittaatte
mitata,Finnish,"to measure, gauge",indicative,present,3pl,He,mittaavat
syödä,Finnish,to eat,indicative,present,1sg,Minä,syön
syödä,Finnish,to eat,indicative,present,2sg,Sinä,syöt
syödä,Finnish,to eat,indicative,present,3sg,Hän,syö
syödä,Finnish,to eat,indicative,present,1pl,Me,syömme
syödä,Finnish,to eat,indicative,present,2pl,Te,syötte
syödä,Finnish,to eat,indicative,present,3pl,He,syövät
purra,Finnish,to bite,indicative,present,1sg,Minä,puren
purra,Finnish,to bite,indicative,present,2sg,Sinä,puret
purra,Finnish,to bite,indicative,present,3sg,Hän,puree
purra,Finnish,to bite,indicative,present,1pl,Me,puremme
purra,Finnish,to bite,indicative,present,2pl,Te,purette
purra,Finnish,to bite,indicative,present,3pl,He,purevat
imeä,Finnish,"to suck, absorb",indicative,present,1sg,Minä,imen
imeä,Finnish,"to suck, absorb",indicative,present,2sg,Sinä,imet
imeä,Finnish,"to suck, absorb",indicative,present,3sg,Hän,imee
imeä,Finnish,"to suck, absorb",indicative,present,1pl,Me,imemme
